model,dataset,filename,num_detections,iou,accuracy,precision,recall,inference_time_sec
YOLO26+UNET,Main,000000121242.jpg,3,0.7473037371457236,0.9926609848484849,0.7926310188880021,0.9289166017147311,0.31999874114990234
YOLO26+UNET,Main,000000102331.jpg,1,0.7121764491432738,0.9911540616246498,0.768338249754179,0.9069173630454967,0.16137480735778809
YOLO26+UNET,Main,000000247917.jpg,10,0.8686315833078744,0.9322643000555342,0.9335577939785186,0.9258701195482995,0.9748833179473877
YOLO26+UNET,Main,000000447917.jpg,3,0.7553890768487191,0.9781552140883978,0.9747411750031184,0.7704707912250431,0.31565380096435547
YOLO26+UNET,Main,000000188465.jpg,4,0.07328540040792862,0.5949993116740088,0.9129794957323654,0.07380091358964598,0.40888071060180664
YOLO26+UNET,Main,000000568710.jpg,0,0.0,0.9476434426229509,0.0,0.0,0.07453179359436035
YOLO26+UNET,Main,000000542423.jpg,2,0.4980050779833152,0.9898235294117647,0.5653695696932263,0.8069350573023802,0.23649144172668457
YOLO26+UNET,Main,000000051938.jpg,5,0.7331606217616581,0.9953059895833334,0.8873460246360583,0.8084064476637421,0.48430871963500977
YOLO26+UNET,Main,000000074860.jpg,1,0.8379275988043839,0.9982142857142857,0.9421209858103062,0.8834033613445378,0.15599942207336426
YOLO26+UNET,Main,000000438304.jpg,2,0.9071711292200233,0.9865739493534482,0.963548235526869,0.9394107435625422,0.24537158012390137
YOLO26+UNET,Main,000000213033.jpg,1,0.8960670053727661,0.9791569010416666,0.9464732709254878,0.9439001453364111,0.1642012596130371
YOLO26+UNET,Main,000000345027.jpg,0,0.0,0.992772952853598,0.0,0.0,0.10786008834838867
YOLO26+UNET,Main,000000015956.jpg,1,0.8243496916063288,0.9957356770833333,0.9457006614367021,0.8653061224489796,0.16134095191955566
YOLO26+UNET,Main,000000261061.jpg,1,0.9376757014798706,0.9929640718562874,0.9658525924711796,0.9698266403335528,0.1571638584136963
YOLO26+UNET,Main,000000468501.jpg,3,0.8405484429556874,0.9700426666666667,0.9155561052533935,0.9111890694239291,0.3328225612640381
YOLO26+UNET,Main,000000179642.jpg,8,0.7152545664964431,0.8712529274004683,0.8149886575312149,0.8539033816425121,0.7324321269989014
YOLO26+UNET,Main,000000019221.jpg,1,0.8266181229773463,0.9789847018828451,0.8588841875192648,0.9565285232804893,0.16377997398376465
YOLO26+UNET,Main,000000384670.jpg,2,0.8759935607203944,0.9919759114583333,0.9592353880901229,0.9098651896749922,0.24248313903808594
YOLO26+UNET,Main,000000376112.jpg,4,0.5456591538655251,0.8941204518779343,0.9567821167379605,0.5594481200580926,0.44492006301879883
YOLO26+UNET,Main,000000537827.jpg,2,0.8437838287950704,0.98534375,0.9080562774442155,0.9226076663935172,0.23743534088134766
YOLO26+UNET,Main,000000054628.jpg,1,0.7553956834532374,0.999456,0.8355437665782494,0.8873239436619719,0.16123628616333008
YOLO26+UNET,Main,000000376206.jpg,1,0.8267686424474188,0.9983423594847776,0.92,0.8908117016893284,0.15689682960510254
YOLO26+UNET,Main,000000079229.jpg,1,0.7660188570329036,0.9955399061032864,0.7855169692186267,0.9686131386861314,0.15927481651306152
YOLO26+UNET,Main,000000493772.jpg,1,0.7998305084745763,0.99711669921875,0.9932645758787624,0.8041922290388548,0.18214011192321777
YOLO26+UNET,Main,000000406417.jpg,3,0.8890193026549125,0.9760700924295774,0.9381512695549153,0.9443684017943054,0.38521599769592285
YOLO26+UNET,Main,000000394940.jpg,1,0.9027122641509434,0.95703125,0.9454069474160274,0.9523563374481991,0.16122221946716309
YOLO26+UNET,Main,000000458045.jpg,7,0.7458160846336199,0.9616853333333333,0.8718977498345467,0.8375983469760788,0.6644406318664551
YOLO26+UNET,Main,000000428111.jpg,2,0.757907133243607,0.9947588869463869,0.918263350998777,0.8127367851344037,0.24295449256896973
YOLO26+UNET,Main,000000451043.jpg,1,0.763668430335097,0.9936255854800937,0.8330620097676483,0.9016498478295691,0.15732979774475098
YOLO26+UNET,Main,000000404922.jpg,3,0.8376059920859242,0.9375489130434783,0.8682448764337928,0.9595732279895088,0.332683801651001
YOLO26+UNET,Main,000000149375.jpg,4,0.7489699374332367,0.9788015463917525,0.8229721232446028,0.8928100413843285,0.45169901847839355
YOLO26+UNET,Main,000000371699.jpg,1,0.4692232874808948,0.9751302083333333,0.47613676418752204,0.9699842022116903,0.16332364082336426
YOLO26+UNET,Main,000000116068.jpg,3,0.6925857855512694,0.9188213333333334,0.7689134041885286,0.8746397327007932,0.32796478271484375
YOLO26+UNET,Main,000000378515.jpg,8,0.6207203890643468,0.9280330882352941,0.7682125557527217,0.7637620693765645,0.7354128360748291
YOLO26+UNET,Main,000000130826.jpg,5,0.8546775539161909,0.92798828125,0.9604184044822724,0.8858815919381745,0.5005171298980713
YOLO26+UNET,Main,000000205105.jpg,1,0.9098738678668667,0.9940785630841121,0.9281827457204399,0.9787806335923491,0.15919804573059082
YOLO26+UNET,Main,000000475064.jpg,2,0.7672222222222222,0.9877341920374707,0.9059450594505946,0.8336225760205237,0.2394556999206543
YOLO26+UNET,Main,000000363207.jpg,6,0.8539879425144422,0.9698046875,0.9541169849811825,0.8905613919894945,0.5732674598693848
YOLO26+UNET,Main,000000137246.jpg,2,0.9067927913234934,0.9794054054054054,0.9681913164615742,0.9346370436780321,0.2400200366973877
YOLO26+UNET,Main,000000474039.jpg,1,0.7594751090389532,0.9501480673316708,0.8035405271009448,0.9326561237446612,0.15360140800476074
YOLO26+UNET,Main,000000462643.jpg,1,0.3590354555852078,0.6291360294117647,0.36287448222714574,0.9713769984528108,0.1632084846496582
YOLO26+UNET,Main,000000166768.jpg,2,0.9530995047832892,0.9638387617370892,0.9628234208604052,0.9895147549080133,0.24460482597351074
YOLO26+UNET,Main,000000537506.jpg,3,0.5545603176456849,0.8410708333333333,0.5947994037852123,0.8912725225225225,0.32351255416870117
YOLO26+UNET,Main,000000537991.jpg,1,0.9197305344962304,0.97525390625,0.9405159102933713,0.9765350852607151,0.1700735092163086
YOLO26+UNET,Main,000000491464.jpg,1,0.92543405230605,0.9913295852803738,0.9465639049454079,0.9764468148540763,0.16012191772460938
YOLO26+UNET,Main,000000292155.jpg,1,0.7926380368098159,0.998349609375,0.9481409001956947,0.8285592133390338,0.1616508960723877
YOLO26+UNET,Main,000000447187.jpg,4,0.846876019780606,0.9602864583333334,0.913935092376876,0.9202673213311511,0.4108562469482422
YOLO26+UNET,Main,000000362682.jpg,1,0.5062271062271062,0.9975336651053864,0.7036659877800407,0.6433891992551211,0.16063499450683594
YOLO26+UNET,Main,000000542856.jpg,1,0.29200074585120267,0.986105825526932,0.9630996309963099,0.2953045445973977,0.15625882148742676
YOLO26+UNET,Main,000000025228.jpg,1,0.816836890502528,0.9806551032110091,0.9741815385860548,0.8349113862588007,0.15878963470458984
YOLO26+UNET,Main,000000447088.jpg,3,0.9018499791802986,0.9702702702702702,0.9444928980812359,0.9523241206030151,0.32661986351013184
YOLO26+UNET,Main,000000463522.jpg,3,0.4177838113015442,0.9888313802083334,0.7708202880400752,0.47703933346250726,0.32744812965393066
